ErrorTROETID,FirmTROETID,ErrorTCode,ErrorTReason,ErrorTType,RepairTStatus,CATTReporterTCRD,CATTReporterTIMID,SubmitterTID,OrderTID,OrderTKeyTDate,TradeTID,TradeTKeyTDate,FulfillmentTID,FulfillmentTKeyTDate,QuoteTID,QuoteTKeyTDate,AllocationTID,AllocationTKeyTDate,Symbol,OptionTID,EventTType,EventTTimestamp,SeqTNo,Side,Price,Quantity,SenderTIMID,ReceiverTIMID,Destination,RoutedTOrderTID,Session,TapeTTradeTID,ParentTOrderTID,ParentTOrderTKeyTDate,PriorTOrderTID,PriorTOrderTKeyTDate,PriorTFulfillmentTID,PriorTFillTKeyTDate,PriorTQuoteTID,PriorTQuoteTKeyTDate,PriorTAllocationTID,PriorTAllocationTKeyTDate,RoutingTParty,Exchange,ReportingTSideTExecutingTMPID,ReportingTSideTTradeTID,ContraTSideTExecutingTMPID,ContraTSideTTradeTID,MarketTCenterTID,FirmTDesignatedTID,RepairTTimestamp,RepairedTBy,RepairTType,RepairTOrg.TID,RepairTSource,CorrectionTDue,FileTName
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T095641.355064403,,Buy,22.15,100,VCVW,NYSE,,VCW52600132838,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T130156.186430355,,Buy,10.28,100,VCVW,NYSE,,VCW52600237484,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T094128.130652932,,Sell,21.69,347,VCVW,NYSE,,VCW52600115895,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T114316.590381918,,Buy,24.96,100,VCVW,NYSE,,VCW52600203170,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T093246.650762422,,Sell,14.87,500,VCVW,NYSE,,VCW52600103448,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T114036.534213456,,Buy,23.21,100,VCVW,NYSE,,VCW52600201761,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T115423.738554796,,Sell,24.57,100,VCVW,NYSE,,VCW52600208334,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T145019.140956165,,Buy,24.26,1,VCVW,NYSE,,VCW52600290229,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T093433.472523414,,Buy,21.84,1000,VCVW,NYSE,,VCW52600106292,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T093328.298665398,,Sell,143.8,100,VCVW,NYSE,,VCW52600104581,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T095930.319862616,,Buy,13.25,200,VCVW,NYSE,,VCW52600135590,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T100035.749918577,,Sell,21.27,100,VCVW,NYSE,,VCW52600136667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T142417.354187501,,Sell,32.08,100,VCVW,NYSE,,VCW52600278731,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092935.863824011,,Buy,,700,VCVW,NYSE,,VCW52600097258,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T102652.152719108,,Short,7390,10,VCVW,NYSE,,VCW52600159962,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T101801.591833207,,Buy,22.51,100,VCVW,NYSE,,VCW52600152897,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T130339.311136151,,Buy,18.6,100,VCVW,NYSE,,VCW52600238696,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T153803.981651339,,Buy,1571.1,20,VCVW,NYSE,,VCW52600312385,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T155713.697843881,,Sell,25.09,203,VCVW,NYSE,,VCW52600324721,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T095753.690492810,,Buy,19.38,200,VCVW,NYSE,,VCW52600134043,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T100844.789001358,,Short,1181.65,20,VCVW,NYSE,,VCW52600144542,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092941.722663687,,Sell,3.66,500,VCVW,NYSE,,VCW52600097507,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T140701.288693403,,Buy,22.61,100,VCVW,NYSE,,VCW52600270018,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T110939.850749443,,Sell,24.33,100,VCVW,NYSE,,VCW52600185209,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092942.220313838,,Buy,,100,VCVW,NYSE,,VCW52600097534,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T122311.752784240,,Sell,523.77,80,VCVW,NYSE,,VCW52600220740,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T155711.559485243,,Sell,25.09,561,VCVW,NYSE,,VCW52600324669,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T120218.304466878,,Sell,20.74,300,VCVW,NYSE,,VCW52600212168,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T093403.292540832,,Buy,23.96,100,VCVW,NYSE,,VCW52600105430,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T120305.324649603,,Sell,21.2,75,VCVW,NYSE,,VCW52600212519,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T120903.864213742,,Sell,24.12,699,VCVW,NYSE,,VCW52600215219,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T153616.426570021,,Buy,7451.1,5,VCVW,NYSE,,VCW52600311519,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T124255.051011638,,Sell,22.85,690,VCVW,NYSE,,VCW52600228914,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T124843.341178999,,Short,124.17,10,VCVW,NYSE,,VCW52600231352,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T100837.079898251,,Sell,25.33,200,VCVW,NYSE,,VCW52600144441,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T094454.751062547,,Sell,8.67,100,VCVW,NYSE,,VCW52600119800,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T122306.702672883,,Short,21.99,100,VCVW,NYSE,,VCW52600220638,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T110159.449373435,,Buy,19.05,100,VCVW,NYSE,,VCW52600180675,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092152.769665087,,Buy,840.01,10,VCVW,NYSE,,VCW52600087846,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOM,20240530T094753.120297589,,Sell,23.55,100,VCVW,NYSE,,VCW52600123151,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOM,20240530T120326.789885638,,Sell,23.68,100,VCVW,NYSE,,VCW52600212651,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092933.315539429,,Sell,,1543,VCVW,NYSE,,VCW52600097168,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T154645.295461739,,Buy,21.44,100,VCVW,NYSE,,VCW52600316703,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T132949.219255183,,Short,24,200,VCVW,NYSE,,VCW52600252887,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T101356.773160666,,Buy,26.24,100,VCVW,NYSE,,VCW52600149496,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T144839.168779055,,Buy,27.45,310,VCVW,NYSE,,VCW52600289673,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T080310.400719259,,Sell,,100,VCVW,NYSE,,VCW52600041900,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T121113.878479737,,Sell,22.8,200,VCVW,NYSE,,VCW52600216295,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T115419.555282043,,Short,24.57,100,VCVW,NYSE,,VCW52600208301,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T093609.204850533,,Sell,22.57,300,VCVW,NYSE,,VCW52600108960,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T105358.619497171,,Buy,23.86,100,VCVW,NYSE,,VCW52600176828,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T104648.062274122,,Buy,22.9,100,VCVW,NYSE,,VCW52600172593,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T085315.287389621,,Buy,8.58,300,VCVW,NYSE,,VCW52600068513,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T123331.251921480,,Buy,17.2,300,VCVW,NYSE,,VCW52600225233,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T144355.158809939,,Short,29.01,18,VCVW,NYSE,,VCW52600288281,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T110524.488090497,,Short,24.47,200,VCVW,NYSE,,VCW52600182842,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T132329.066687396,,Buy,21.02,300,VCVW,NYSE,,VCW52600249266,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOM,20240530T093745.381702751,,Sell,19.94,100,VCVW,NYSE,,VCW52600111212,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092547.654125671,,Short,3.67,2000,VCVW,NYSE,,VCW52600091152,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092949.379491618,,Buy,,280,VCVW,NYSE,,VCW52600097993,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T102030.008200114,,Short,25.37,100,VCVW,NYSE,,VCW52600154636,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T093334.476463940,,Sell,23.09,800,VCVW,NYSE,,VCW52600104711,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T155704.999184619,,Sell,25.95,100,VCVW,NYSE,,VCW52600324569,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T100946.390503574,,Buy,19.13,100,VCVW,NYSE,,VCW52600145420,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T093319.268717104,,Buy,2.15,200,VCVW,NYSE,,VCW52600104375,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T110552.384589685,,Short,29.64,100,VCVW,NYSE,,VCW52600183176,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T141613.198956077,,Buy,0.67,100,VCVW,NYSE,,VCW52600273701,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T103624.349925749,,Sell,21.47,80,VCVW,NYSE,,VCW52600166155,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T100222.556471765,,Buy,24.04,100,VCVW,NYSE,,VCW52600138479,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T093743.439519584,,Sell,19.98,100,VCVW,NYSE,,VCW52600111169,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOM,20240530T112341.407133763,,Sell,25.26,2000,VCVW,NYSE,,VCW52600192735,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T152318.217075426,,Buy,18.64,100,VCVW,NYSE,,VCW52600305180,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092941.275435930,,Buy,,275,VCVW,NYSE,,VCW52600097480,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T145717.142725558,,Buy,21.02,100,VCVW,NYSE,,VCW52600293370,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOM,20240530T134635.232050246,,Buy,18.56,100,VCVW,NYSE,,VCW52600260657,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T151048.319956225,,Buy,25.03,200,VCVW,NYSE,,VCW52600298972,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T112921.517389523,,Short,19.79,300,VCVW,NYSE,,VCW52600195969,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T135113.452288022,,Buy,5.52,526,VCVW,NYSE,,VCW52600263231,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T150547.487349861,,Short,9.4,100,VCVW,NYSE,,VCW52600297001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T114131.188191046,,Sell,18,200,VCVW,NYSE,,VCW52600202174,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T150650.842998338,,Sell,22.72,200,VCVW,NYSE,,VCW52600297405,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T094544.915735586,,Buy,18.85,100,VCVW,NYSE,,VCW52600120675,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOM,20240530T102723.659650618,,Buy,145.98,50,VCVW,NYSE,,VCW52600160297,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOM,20240530T095650.104020001,,Short,23.19,100,VCVW,NYSE,,VCW52600133040,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T145051.847215166,,Sell,14.8,106,VCVW,NYSE,,VCW52600290529,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T143239.496532704,,Buy,7423.2,20,VCVW,NYSE,,VCW52600283064,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T111955.843935203,,Sell,20.71,1000,VCVW,NYSE,,VCW52600190540,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T114759.810366577,,Buy,21.23,100,VCVW,NYSE,,VCW52600205428,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092949.724883007,,Sell,,12,VCVW,NYSE,,VCW52600098030,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T102201.470236290,,Short,18.66,100,VCVW,NYSE,,VCW52600156011,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOM,20240530T130726.410763518,,Buy,16.86,200,VCVW,NYSE,,VCW52600240930,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T151555.189147168,,Buy,25.83,500,VCVW,NYSE,,VCW52600301495,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T092948.552354850,,Buy,,100,VCVW,NYSE,,VCW52600097910,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T095655.195728449,,Sell,25.2,500,VCVW,NYSE,,VCW52600133132,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T134749.628174827,,Buy,26.54,100,VCVW,NYSE,,VCW52600261394,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T123856.816217669,,Sell,19.47,1000,VCVW,NYSE,,VCW52600227134,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T155301.706014360,,Buy,23.21,1047,VCVW,NYSE,,VCW52600321042,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T154832.684879945,,Short,24,100,VCVW,NYSE,,VCW52600317700,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T101552.051692486,,Sell,3.04,190,VCVW,NYSE,,VCW52600151219,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T152500.978136615,,Short,19.77,100,VCVW,NYSE,,VCW52600306005,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T131959.788727889,,Buy,22.36,100,VCVW,NYSE,,VCW52600247291,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T112539.215831043,,Short,18.94,100,VCVW,NYSE,,VCW52600193845,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T103410.691714037,,Buy,23.05,100,VCVW,NYSE,,VCW52600164655,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T102047.003186907,,Sell,19.79,47,VCVW,NYSE,,VCW52600154877,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T093221.934066557,,Short,24.49,500,VCVW,NYSE,,VCW52600102843,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T093707.854809421,,Buy,1750.11,5,VCVW,NYSE,,VCW52600110430,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T122924.061794282,,Buy,18.12,100,VCVW,NYSE,,VCW52600223375,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T133500.088240213,,Sell,19.3,100,VCVW,NYSE,,VCW52600255247,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T141325.565282864,,Buy,3262.7,1,VCVW,NYSE,,VCW52600272682,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T131504.449457507,,Buy,18.24,100,VCVW,NYSE,,VCW52600244760,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,EOA,20240530T102034.551861442,,Buy,22.88,200,VCVW,NYSE,,VCW52600154692,,,,,,,,,,,,,,,,,,,,,,,,,,,
