Error ROE ID,Firm ROE ID,Error Code,Error Reason,Error Type,Repair Status,CAT Reporter CRD,CAT Reporter IMID,Submitter ID,Order ID,Order Key Date,Trade ID,Trade Key Date,Fulfillment ID,Fulfillment Key Date,Quote ID,Quote Key Date,Allocation ID,Allocation Key Date,Symbol,Option ID,Event Type,Event Timestamp,Seq No,Side,SIDE Conversion (FOR MENO +MEOR Events),Price,Quantity,Sender IMID,Receiver IMID,Destination,Routed Order ID,Session,Tape Trade ID,Parent Order ID,Parent Order Key Date,Prior Order ID,Prior Order Key Date,Prior Fulfillment ID,Prior Fill Key Date,Prior Quote ID,Prior Quote Key Date,Prior Allocation ID,Prior Allocation Key Date,Routing Party,Exchange,Reporting Side Executing MPID,Reporting Side Trade ID,Contra Side Executing MPID,Contra Side Trade ID,Market Center ID,Firm Designated ID,Repair Timestamp,Repaired By,Repair Type,Repair Org. ID,Repair Source,Correction Due,File Name
,429928396,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,PNFPP,,EOA,20240515T160001.756999137,,Se,,23.80000000,94.000000,VCVW,NSDQ,,VCTY-TAK2-584121,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070016
,467197351,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,NTRSO,,EOA,20240515T160002.053742698,,Se,,21.22000000,235.000000,VCVW,NSDQ,,VCTY-TAK2-586913,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070019
,485536187,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,SPEpC,,EOA,20240515T160002.605026031,,Bu,,22.82000000,100.000000,VCVW,NSDQ,,VCTY-TAK2-573940,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070003
,498347042,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,ESGRP,,EOA,20240515T160002.057411474,,Bu,,25.09000000,100.000000,VCVW,NSDQ,,VCTY-TAK2-519471,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070006
,573926378,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,ONBPO,,EOA,20240515T160001.947284505,,Bu,,24.79000000,100.000000,VCVW,NSDQ,,VCTY-TAK2-402167,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070015
,656939065,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,CHSCN,,EOA,20240515T160002.442827215,,Bu,,25.96000000,300.000000,VCVW,NSDQ,,VCTY-TAK2-436917,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070006
,677500848,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,BHFAM,,EOA,20240515T160001.940112262,,Bu,,16.02000000,100.000000,VCVW,NSDQ,,VCTY-TAK2-517631,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070019
,70429480,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,TCBIO,,EOA,20240515T160002.226888303,,Bu,,19.32000000,100.000000,VCVW,NSDQ,,VCTY-TAK2-497862,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070006
,725265638,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,HPPpC,,EOA,20240515T160002.583365692,,Bu,,14.22000000,700.000000,VCVW,NSDQ,,VCTY-TAK2-592565,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070005
,763662820,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,FULTP,,EOA,20240515T160001.993853580,,Bu,,18.67000000,100.000000,VCVW,NSDQ,,VCTY-TAK2-479651,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070004
,864374530,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,GECCM,,EOA,20240515T160002.376701295,,Bu,,25.06000000,70.000000,VCVW,NSDQ,,VCTY-TAK2-558001,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070020
,70429480,7004,Named - Matching routedOrderID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,TCBIO,,EOA,20240515T160002.226888303,,Se,SL,19.32000000,100.000000,VCVW,NSDQ,,VCTY-TAK2-497862,S160R0,,,,,,,,,,,,VCVW,NSDQ,,,,,,,,,,,,,NSDQ_20240515_EQTFixNewOrdEOA_OrderEvents_070006
