Error ROE ID,Firm ROE ID,Error Code,Error Reason,Error Type,Repair Status,CAT Reporter CRD,CAT Reporter IMID,Submitter ID,Order ID,Order Key Date,Trade ID,Trade Key Date,Fulfillment ID,Fulfillment Key Date,Quote ID,Quote Key Date,Allocation ID,Allocation Key Date,Symbol,Option ID,Event Type,Event Timestamp,Seq No,Side,Price,Quantity,Sender IMID,Receiver IMID,Destination,Routed Order ID,Session,Tape Trade ID,Parent Order ID,Parent Order Key Date,Prior Order ID,Prior Order Key Date,Prior Fulfillment ID,Prior Fill Key Date,Prior Quote ID,Prior Quote Key Date,Prior Allocation ID,Prior Allocation Key Date,Routing Party,Exchange,Reporting Side Executing MPID,Reporting Side Trade ID,Contra Side Executing MPID,Contra Side Trade ID,Market Center ID,Firm Designated ID,Repair Timestamp,Repaired By,Repair Type,Repair Org. ID,Repair Source,Correction Due,File Name
,,,,,,,,,,,,,,,,,,,GPJA,,EOA,20240621T125646.270688498,,Sell,25.08,100,VCVW,NYSE,,VCW52820267492,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BH,,EOA,20240621T130205.254894450,,Sell,182.82,10,VCVW,NYSE,,VCW52820269474,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BAC PRL,,EOA,20240620T094613.140728769,,Buy,1189.35,20,VCVW,NYSE,,VCW52810158256,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SOJD,,EOA,20240621T105301.473063680,,Sell,22.35,300,VCVW,NYSE,,VCW52820209573,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SLG PRI,,EOA,20240620T094713.483121995,,Buy,20.79,100,VCVW,NYSE,,VCW52810159581,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK A,,EOA,20240621T103337.392640765,,Buy,616410.01,1,VCVW,NYSE,,VCW52820195725,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,STEM,,EOA,20240620T082552.214022966,,Buy,1.08,10000,VCVW,NYSE,,VCW52810087197,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,KKRS,,EOA,20240621T125441.974185614,,Sell,18.98,100,VCVW,NYSE,,VCW52820266638,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SILA,,EOA,20240620T093928.972709033,,Sell,21.78,700,VCVW,NYSE,,VCW52810149880,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK A,,EOA,20240620T103449.621777893,,Buy,608745.11,1,VCVW,NYSE,,VCW52810204076,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BML PRL,,EOA,20240620T155036.486665817,,Sell,22.38,238,VCVW,NYSE,,VCW52810341160,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IIIN,,EOA,20240621T155635.286694802,,Sell,31.38,100,VCVW,NYSE,,VCW52820358182,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SAT,,EOA,20240620T135728.720568377,,Short,24.07,100,VCVW,NYSE,,VCW52810292202,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,MS PRA,,EOA,20240621T155148.241348608,,Short,23.62,100,VCVW,NYSE,,VCW52820351680,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,JXN PRA,,EOA,20240620T100937.148895780,,Short,26.23,100,VCVW,NYSE,,VCW52810182935,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,KIM PRM,,EOA,20240620T111117.935122527,,Sell,21.28,45,VCVW,NYSE,,VCW52810226615,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GPJA,,EOA,20240621T122701.596107085,,Sell,25.12,200,VCVW,NYSE,,VCW52820254870,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK A,,EOA,20240621T144219.585323369,,Sell,616799.97,2,VCVW,NYSE,,VCW52820316719,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CRM,,EOA,20240621T092946.098616364,,Buy,238.6,200,VCVW,NYSE,,VCW52820126339,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GNTY,,EOA,20240620T154649.459498473,,Buy,29.4,100,VCVW,NYSE,,VCW52810338713,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,MS PRE,,EOA,20240621T093318.222256448,,Short,25.61,100,VCVW,NYSE,,VCW52820132973,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,FOSLL,,EOA,20240621T093854.089365832,,Buy,13.65,100,VCVW,NYSE,,VCW52820140790,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK A,,EOA,20240620T113232.035166102,,Buy,609120.01,1,VCVW,NYSE,,VCW52810239436,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CHE,,EOA,20240620T102536.975474506,,Buy,535.22,9,VCVW,NYSE,,VCW52810196941,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK A,,EOA,20240621T155752.175331434,,Sell,616860,1,VCVW,NYSE,,VCW52820360100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,KLAC,,EOA,20240621T120912.958544096,,Short,825,150,VCVW,NYSE,,VCW52820249003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BH,,EOA,20240621T125711.843376469,,Short,183.79,7,VCVW,NYSE,,VCW52820267684,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GNTY,,EOA,20240620T131912.646113619,,Sell,29.62,1,VCVW,NYSE,,VCW52810279325,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PRIF PRK,,EOA,20240621T120912.985892855,,Sell,21.17,100,VCVW,NYSE,,VCW52820249012,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,AUB PRA,,EOA,20240620T093900.036067484,,Buy,23.43,100,VCVW,NYSE,,VCW52810149265,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WTM,,EOA,20240621T122719.178268013,,Short,1844.27,5,VCVW,NYSE,,VCW52820255020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,KEY PRK,,EOA,20240621T113818.723260914,,Buy,20.5,54,VCVW,NYSE,,VCW52820235598,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SREA,,EOA,20240620T123314.010620348,,Sell,23.37,100,VCVW,NYSE,,VCW52810261972,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,ATH PRA,,EOA,20240621T093803.368607378,,Short,24.03,100,VCVW,NYSE,,VCW52820139498,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BAC PRL,,EOA,20240621T101144.144146134,,Short,1199,10,VCVW,NYSE,,VCW52820176291,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CNTX,,EOA,20240621T154717.435485099,,Buy,,500,VCVW,NYSE,,VCW52820347716,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WFC PRL,,EOA,20240621T095720.443541104,,Buy,1181.25,20,VCVW,NYSE,,VCW52820163128,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SEB,,EOA,20240621T103251.459684891,,Short,3014.2,1,VCVW,NYSE,,VCW52820195142,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DRI,,EOA,20240620T091831.138563891,,Short,,1000,VCVW,NYSE,,VCW52810121777,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,AFBI,,EOA,20240621T150839.358443642,,Buy,,500,VCVW,NYSE,,VCW52820327537,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,NVR,,EOA,20240620T093552.067659479,,Short,7593.85,1,VCVW,NYSE,,VCW52810145133,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,NYCB PRA,,EOA,20240621T113234.920072718,,Buy,18.14,255,VCVW,NYSE,,VCW52820232752,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,EL,,EOA,20240620T142638.947792534,,Short,111.15,10,VCVW,NYSE,,VCW52810303281,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CHMI PRA,,EOA,20240621T115754.193682732,,Buy,23.07,100,VCVW,NYSE,,VCW52820244205,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BWNB,,EOA,20240621T110736.203076560,,Buy,20.08,100,VCVW,NYSE,,VCW52820219174,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PGRU,,EOA,20240620T111351.704749121,,Sell,4.88,150,VCVW,NYSE,,VCW52810228388,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,UZD,,EOA,20240621T094559.636166914,,Buy,22.24,200,VCVW,NYSE,,VCW52820149652,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PRH,,EOA,20240621T154032.888623240,,Sell,26.12,100,VCVW,NYSE,,VCW52820343729,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PEN,,EOA,20240620T145705.376014221,,Buy,172.54,10,VCVW,NYSE,,VCW52810316156,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,JXN PRA,,EOA,20240620T095150.107503686,,Sell,26.03,150,VCVW,NYSE,,VCW52810165274,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GPJA,,EOA,20240621T103725.682765747,,Buy,24.78,100,VCVW,NYSE,,VCW52820198354,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WWW,,EOA,20240621T155813.668967745,,Buy,,2000,VCVW,NYSE,,VCW52820360845,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DELL,,EOA,20240620T092939.743875296,,Sell,,50,VCVW,NYSE,,VCW52810135117,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GPJA,,EOA,20240621T122152.745312764,,Buy,24.91,100,VCVW,NYSE,,VCW52820253234,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BAC PRQ,,EOA,20240621T100214.067523642,,Short,18.73,100,VCVW,NYSE,,VCW52820167859,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GHC,,EOA,20240621T093921.153822003,,Buy,707.51,10,VCVW,NYSE,,VCW52820141317,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,ANG PRA,,EOA,20240620T094659.924597095,,Buy,24.08,100,VCVW,NYSE,,VCW52810159329,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,GNTY,,EOA,20240621T151737.873791871,,Short,29.6,200,VCVW,NYSE,,VCW52820331947,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PHVS,,EOA,20240621T142027.057350974,,Sell,18.55,177,VCVW,NYSE,,VCW52820305679,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,JXN PRA,,EOA,20240620T101224.333848068,,Sell,26.05,100,VCVW,NYSE,,VCW52810186049,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CAT,,EOA,20240621T092928.121782853,,Buy,333,80,VCVW,NYSE,,VCW52820125647,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BWNB,,EOA,20240621T135419.343314658,,Buy,20.07,100,VCVW,NYSE,,VCW52820292753,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,LLY,,EOA,20240620T092943.975361108,,Sell,,461,VCVW,NYSE,,VCW52810135349,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WFC PRL,,EOA,20240620T102823.064354341,,Buy,1177.3,20,VCVW,NYSE,,VCW52810199032,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,AGM PRF,,EOA,20240621T115937.406992339,,Buy,21.23,100,VCVW,NYSE,,VCW52820245120,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,F PRD,,EOA,20240621T150310.125165154,,Sell,25.04,908,VCVW,NYSE,,VCW52820324736,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,MOH,,EOA,20240621T155027.103921784,,Buy,307.3,100,VCVW,NYSE,,VCW52820349917,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,UNMA,,EOA,20240621T115452.323308206,,Short,25.16,100,VCVW,NYSE,,VCW52820243240,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WFC PRL,,EOA,20240621T095630.382789006,,Buy,1178.26,10,VCVW,NYSE,,VCW52820162330,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,UNMA,,EOA,20240621T103401.005471742,,Buy,24.91,100,VCVW,NYSE,,VCW52820195960,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CADE,,EOA,20240621T092652.108146208,,Short,27.5,500,VCVW,NYSE,,VCW52820120980,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WTM,,EOA,20240620T155419.343272890,,Short,1851.8,5,VCVW,NYSE,,VCW52810344662,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,TLT,,EOA,20240620T143733.395419686,,Buy,93.9,50,VCVW,NYSE,,VCW52810307970,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,MFA PRB,,EOA,20240621T095358.161433016,,Sell,21.12,200,VCVW,NYSE,,VCW52820159429,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR PRC,,EOA,20240620T094900.336829663,,Buy,22.62,100,VCVW,NYSE,,VCW52810161780,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BWNB,,EOA,20240621T125304.912508497,,Buy,20.07,50,VCVW,NYSE,,VCW52820265883,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,EL,,EOA,20240621T150900.972207640,,Buy,113.6,100,VCVW,NYSE,,VCW52820327675,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DLR PRK,,EOA,20240621T102313.503583468,,Buy,23.04,100,VCVW,NYSE,,VCW52820186888,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,F PRB,,EOA,20240620T122559.985178562,,Sell,23.93,100,VCVW,NYSE,,VCW52810258980,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,ECL,,EOA,20240621T141107.265782932,,Buy,243.12,209,VCVW,NYSE,,VCW52820300547,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,STG,,EOA,20240620T115908.318218627,,Buy,6.51,50,VCVW,NYSE,,VCW52810251156,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SNDA,,EOA,20240620T120814.224086466,,Sell,26.4,50,VCVW,NYSE,,VCW52810254003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PFF,,EOA,20240620T143708.133633089,,Sell,31.52,1000,VCVW,NYSE,,VCW52810307780,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BML PRJ,,EOA,20240620T093515.013864325,,Sell,23.33,100,VCVW,NYSE,,VCW52810144077,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,STXV,,EOA,20240621T092953.161582531,,Short,28.86,200,VCVW,NYSE,,VCW52820126696,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CI,,EOA,20240621T092758.971396896,,Sell,,10,VCVW,NYSE,,VCW52820122563,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SRG PRA,,EOA,20240621T125513.665225520,,Sell,20.7,100,VCVW,NYSE,,VCW52820266861,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PRIF PRK,,EOA,20240621T095554.437866236,,Buy,20.72,100,VCVW,NYSE,,VCW52820161593,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CMS PRC,,EOA,20240620T093419.661980149,,Sell,18.89,50,VCVW,NYSE,,VCW52810142792,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SBOW,,EOA,20240621T114233.731685705,,Buy,37.52,5,VCVW,NYSE,,VCW52820237709,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DBRG PRI,,EOA,20240620T093321.643265125,,Buy,23.82,200,VCVW,NYSE,,VCW52810141569,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PMT PRA,,EOA,20240621T114745.859288050,,Sell,24.39,139,VCVW,NYSE,,VCW52820240120,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,USB PRH,,EOA,20240621T121345.939875469,,Buy,21.68,100,VCVW,NYSE,,VCW52820250456,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK A,,EOA,20240620T102607.418787535,,Sell,609160.16,1,VCVW,NYSE,,VCW52810197363,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DELL,,EOA,20240620T092940.584783561,,Sell,,250,VCVW,NYSE,,VCW52810135139,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SHO PRI,,EOA,20240620T093553.452243523,,Sell,20.57,100,VCVW,NYSE,,VCW52810145231,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PYN,,EOA,20240620T094540.193494122,,Sell,5.92,100,VCVW,NYSE,,VCW52810157592,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,AFGD,,EOA,20240620T115758.598307198,,Short,24.33,100,VCVW,NYSE,,VCW52810250666,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,TWO PRB,,EOA,20240620T094031.815308901,,Buy,22.26,100,VCVW,NYSE,,VCW52810151196,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DLR PRL,,EOA,20240620T111640.895385203,,Buy,20.94,200,VCVW,NYSE,,VCW52810230095,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BWNB,,EOA,20240621T120953.974945320,,Short,20.42,100,VCVW,NYSE,,VCW52820249359,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CTR,,EOA,20240621T103946.029757542,,Buy,39.95,100,VCVW,NYSE,,VCW52820199934,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SOJC,,EOA,20240621T093637.345477999,,Sell,23.47,100,VCVW,NYSE,,VCW52820137489,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BWNB,,EOA,20240621T113400.020973666,,Buy,20.12,100,VCVW,NYSE,,VCW52820233513,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CFG PRH,,EOA,20240621T124937.479761630,,Sell,26.07,100,VCVW,NYSE,,VCW52820264126,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK A,,EOA,20240620T153552.214341438,,Sell,615899,1,VCVW,NYSE,,VCW52810333626,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,T PRC,,EOA,20240620T130401.067441725,,Buy,20.03,300,VCVW,NYSE,,VCW52810274911,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,VNO PRO,,EOA,20240620T115555.708319749,,Buy,13.4,100,VCVW,NYSE,,VCW52810249963,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WRB PRH,,EOA,20240620T155959.387683177,,Sell,17.56,100,VCVW,NYSE,,VCW52810351446,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WFC PRL,,EOA,20240621T152115.357914482,,Short,1185.9,10,VCVW,NYSE,,VCW52820333448,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,ALL PRH,,EOA,20240621T114444.873098939,,Buy,22.34,100,VCVW,NYSE,,VCW52820238805,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PSA PRP,,EOA,20240621T123428.696179653,,Buy,17.43,100,VCVW,NYSE,,VCW52820258003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK A,,EOA,20240621T142202.230517998,,Short,617970,1,VCVW,NYSE,,VCW52820306559,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,TARO,,EOA,20240620T155137.592849164,,Buy,43.02,500,VCVW,NYSE,,VCW52810342127,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SREA,,EOA,20240621T094314.622104133,,Sell,23.43,500,VCVW,NYSE,,VCW52820146497,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK A,,EOA,20240620T113354.493580949,,Buy,609340,1,VCVW,NYSE,,VCW52810240166,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,NYCB PRA,,EOA,20240621T095636.183399849,,Buy,17.87,300,VCVW,NYSE,,VCW52820162448,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,BRK A,,EOA,20240620T152236.285679131,,Buy,615350.01,1,VCVW,NYSE,,VCW52810327409,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CNO PRA,,EOA,20240620T094252.787817136,,Sell,20.52,100,VCVW,NYSE,,VCW52810154076,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,RWT PRA,,EOA,20240621T093946.399731334,,Buy,25.16,100,VCVW,NYSE,,VCW52820142101,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,MITT PRC,,EOA,20240621T103053.673608229,,Sell,24.2,226,VCVW,NYSE,,VCW52820193275,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,OLP,,EOA,20240621T092711.975872159,,Short,24.46,500,VCVW,NYSE,,VCW52820121348,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,VLYPO,,EOA,20240620T132015.788715934,,Buy,23.7,100,VCVW,NYSE,,VCW52810279708,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SEB,,EOA,20240620T141607.182339529,,Buy,3005.1,1,VCVW,NYSE,,VCW52810299442,,,,,,,,,,,,,,,,,,,,,,,,,,,
